player_fifa_api_id,player_name,height,weight,aggression,interceptions,vision,long_passing,jumping,heading_accuracy,overall_rating,preferred_foot,ball_control,balance,strength,stamina,MAX(p.date)
2,Giovanni Pasquale,182.88,181,72,69,66,69,68,59,69,left,71,68,68,69,2016-05-12 00:00:00
6,Alessio Scarpi,187.96,183,40,20,42,24,72,15,70,right,11,43,69,50,2011-08-30 00:00:00
11,Romain Rocchi,182.88,165,57,58,66,64,64,54,63,right,68,58,67,53,2015-03-27 00:00:00
16,Luis Garcia,177.8,152,67,32,62,57,68,61,70,right,78,72,71,70,2014-04-11 00:00:00
27,Joe Cole,175.26,161,69,39,74,69,58,41,71,right,78,75,56,29,2016-04-14 00:00:00
28,Manu Herrera,182.88,165,37,26,31,23,67,14,73,left,15,60,60,32,2015-11-12 00:00:00
41,Andres Iniesta,170.18,150,58,68,92,86,54,54,88,right,92,87,59,64,2015-10-16 00:00:00
58,Guy Demel,187.96,194,76,69,61,66,62,67,68,right,67,56,85,63,2016-03-10 00:00:00
61,David Odonkor,172.72,163,63,26,58,44,70,42,66,right,62,85,61,64,2012-02-22 00:00:00
80,Emre Belozoglu,170.18,159,87,68,77,80,72,43,74,left,77,84,64,51,2016-03-10 00:00:00
158,Michael Ball,177.8,181,66,62,54,59,64,65,69,left,71,65,71,75,2011-08-30 00:00:00
164,Giampiero Pinzi,180.34,161,77,77,77,77,68,68,73,right,71,62,68,68,2016-05-12 00:00:00
185,David James,193.04,209,70,28,34,24,74,15,65,right,22,43,75,52,2013-03-08 00:00:00
195,Robbie Fowler,180.34,172,49,46,71,44,50,61,64,left,69,48,52,53,2011-02-22 00:00:00
201,Hugo Leal,180.34,165,50,51,76,76,46,48,68,right,75,68,63,40,2013-05-10 00:00:00
241,Ryan Giggs,177.8,157,60,47,83,81,59,60,78,left,79,70,61,48,2014-02-28 00:00:00
244,Gary Neville,177.8,174,87,85,70,61,70,75,76,right,64,67,74,65,2010-08-30 00:00:00
245,Nicky Butt,177.8,157,87,82,,65,,64,71,right,72,,64,66,2009-08-30 00:00:00
246,Paul Scholes,170.18,157,87,79,91,90,64,72,80,right,87,82,63,34,2013-05-17 00:00:00
249,Philip Neville,180.34,168,78,83,57,72,71,69,74,right,72,70,76,61,2013-05-24 00:00:00
250,David Beckham,182.88,165,81,57,87,87,59,41,78,right,83,64,70,81,2013-06-21 00:00:00
268,Francesco Arnau,185.42,179,40,21,32,23,44,11,67,right,20,34,66,50,2011-02-22 00:00:00
269,Nick Barmby,170.18,157,55,43,71,59,71,51,61,right,76,84,59,33,2011-08-30 00:00:00
330,Robbie Keane,175.26,161,67,34,82,63,62,63,80,right,86,83,68,72,2016-02-19 00:00:00
388,Sol Campbell,187.96,190,84,77,57,44,85,81,75,right,55,80,87,64,2011-02-22 00:00:00
450,Darius Vassell,170.18,170,52,20,76,52,82,62,69,right,71,80,69,74,2012-02-22 00:00:00
492,Jonathan Zebina,187.96,190,74,75,46,67,69,72,73,right,66,60,72,63,2014-11-14 00:00:00
496,Dietmar Hamann,187.96,168,74,75,78,64,83,62,61,right,64,70,82,28,2010-08-30 00:00:00
552,Frederic Kanoute,193.04,181,57,52,74,63,51,85,76,right,86,50,85,52,2012-02-22 00:00:00
560,Bernardo Corradi,190.5,190,65,30,64,43,64,73,70,right,72,45,72,56,2012-08-31 00:00:00
595,Christophe Landrin,177.8,165,64,50,73,70,60,58,66,right,72,71,68,70,2012-02-22 00:00:00
599,Joseph Desire Job,177.8,165,35,25,57,43,65,63,64,right,67,62,58,57,2010-08-30 00:00:00
603,Flavio Roma,190.5,190,21,22,25,26,68,25,67,right,25,36,84,25,2014-02-28 00:00:00
607,Clarke Carlisle,190.5,174,69,55,20,32,78,55,61,right,39,50,86,70,2013-04-05 00:00:00
614,Ousmane Dabo,185.42,185,80,74,73,78,69,68,73,right,74,74,80,74,2011-02-22 00:00:00
636,Dean Ashton,185.42,172,82,72,,43,,83,81,right,80,,89,76,2010-02-22 00:00:00
642,Rob Hulse,187.96,172,71,39,57,44,72,85,65,right,62,57,85,63,2013-07-12 00:00:00
646,Salif Diao,182.88,161,77,70,66,67,71,70,68,right,66,66,79,32,2012-02-22 00:00:00
